ctp3,test03_10.graph,aot-random,random,10,10,0.5,100,73.08700,2.11393,8.95
ctp3,test03_10.graph,aot-random,random,50,10,0.5,100,77.68700,2.27211,11.92
ctp3,test03_10.graph,aot-random,random,100,10,0.5,100,75.22900,2.19422,15.80
ctp3,test03_10.graph,aot-random,random,500,10,0.5,100,77.79000,2.11121,67.00
ctp3,test03_10.graph,aot-random,random,1000,10,0.5,100,73.47600,2.00714,191.94
ctp3,test03_10.graph,aot-random,random,5000,10,0.5,100,67.71800,1.70289,4530.48
ctp3,test03_10.graph,aot-value,optimistic,10,10,0.5,100,56.84100,1.59813,3.16
ctp3,test03_10.graph,aot-value,optimistic,50,10,0.5,100,53.93200,1.40294,12.76
ctp3,test03_10.graph,aot-value,optimistic,100,10,0.5,100,54.23200,1.45623,23.81
ctp3,test03_10.graph,aot-value,optimistic,500,10,0.5,100,54.82000,1.46598,118.10
ctp3,test03_10.graph,aot-value,optimistic,1000,10,0.5,100,51.46600,1.32660,297.35
ctp3,test03_10.graph,aot-value,optimistic,5000,10,0.5,100,54.47400,1.47879,1940.55
ctp3,test03_10.graph,uct,random,10,10,0,NA,88.41200,2.44854,1.90
ctp3,test03_10.graph,uct,random,50,10,0,NA,68.73000,2.07567,8.28
ctp3,test03_10.graph,uct,random,100,10,0,NA,63.76500,1.87574,15.38
ctp3,test03_10.graph,uct,random,500,10,0,NA,60.89500,1.62143,64.52
ctp3,test03_10.graph,uct,random,1000,10,0,NA,60.38200,1.62755,120.51
ctp3,test03_10.graph,uct,random,5000,10,0,NA,57.49600,1.48225,513.60
ctp3,test03_10.graph,uct,random,10000,10,0,NA,55.96300,1.48005,971.73
ctp3,test03_10.graph,uct,optimistic,10,10,0,NA,68.71200,1.82600,1.52
ctp3,test03_10.graph,uct,optimistic,50,10,0,NA,80.47700,1.97892,7.98
ctp3,test03_10.graph,uct,optimistic,100,10,0,NA,69.50600,1.85129,14.86
ctp3,test03_10.graph,uct,optimistic,500,10,0,NA,54.83100,1.58515,62.06
ctp3,test03_10.graph,uct,optimistic,1000,10,0,NA,53.31600,1.38217,119.65
ctp3,test03_10.graph,uct,optimistic,5000,10,0,NA,55.00100,1.43872,539.98
ctp3,test03_10.graph,uct,optimistic,10000,10,0,NA,53.66100,1.41347,1041.98
ctp3,test03_10.graph,aot-random,optimistic,10,10,0.5,100,60.83900,1.63001,7.37
ctp3,test03_10.graph,aot-random,optimistic,50,10,0.5,100,60.59400,1.68428,10.08
ctp3,test03_10.graph,aot-random,optimistic,100,10,0.5,100,61.30100,1.68606,13.91
ctp3,test03_10.graph,aot-random,optimistic,500,10,0.5,100,57.74800,1.52794,62.38
ctp3,test03_10.graph,aot-random,optimistic,1000,10,0.5,100,57.81600,1.53542,182.75
ctp3,test03_10.graph,aot-random,optimistic,5000,10,0.5,100,60.36900,1.60206,4350.09
ctp3,test03_10.graph,aot,random,10,10,0.5,100,56.96100,1.50451,38.67
ctp3,test03_10.graph,aot,random,50,10,0.5,100,57.72200,1.42042,133.18
ctp3,test03_10.graph,aot,random,100,10,0.5,100,55.32400,1.45519,235.19
ctp3,test03_10.graph,aot,random,500,10,0.5,100,54.45900,1.42460,656.08
ctp3,test03_10.graph,aot,random,1000,10,0.5,100,52.92700,1.35948,848.10
ctp3,test03_10.graph,aot,random,5000,10,0.5,100,54.48100,1.44126,2548.69
ctp3,test03_10.graph,aot,optimistic,10,10,0.5,100,57.24200,1.61043,30.83
ctp3,test03_10.graph,aot,optimistic,50,10,0.5,100,52.79300,1.38391,103.37
ctp3,test03_10.graph,aot,optimistic,100,10,0.5,100,53.96700,1.47489,182.84
ctp3,test03_10.graph,aot,optimistic,500,10,0.5,100,52.56100,1.37200,545.12
ctp3,test03_10.graph,aot,optimistic,1000,10,0.5,100,52.86500,1.30288,807.91
ctp3,test03_10.graph,aot,optimistic,5000,10,0.5,100,54.04900,1.33677,3017.72
