ctp3,test00_10.graph,uct2,optimistic,100,10,0,NA,159.85699,2.82075,18.01
ctp3,test00_10.graph,aot2,optimistic,1000,10,0.5,100,101.84600,1.92398,630.66
ctp3,test00_10.graph,aot2,optimistic,5000,10,0.5,100,101.19000,1.90067,2600.10
ctp3,test00_10.graph,aot-value2,optimistic,10,10,0.5,100,107.64600,2.22405,2.27
ctp3,test00_10.graph,aot-value2,optimistic,50,10,0.5,100,103.97700,2.07881,10.32
ctp3,test00_10.graph,aot-value2,optimistic,100,10,0.5,100,102.25100,2.04369,19.06
ctp3,test00_10.graph,aot-value2,optimistic,500,10,0.5,100,108.48100,2.18682,74.07
ctp3,test00_10.graph,aot-value2,optimistic,1000,10,0.5,100,106.15200,2.05295,137.17
ctp3,test00_10.graph,aot-value2,optimistic,5000,10,0.5,100,100.07000,1.81382,1182.38
ctp3,test00_10.graph,uct2,optimistic,500,10,0,NA,125.75600,2.41955,83.06
ctp3,test00_10.graph,uct2,optimistic,1000,10,0,NA,118.07200,2.29529,160.91
ctp3,test00_10.graph,uct2,optimistic,5000,10,0,NA,107.02700,2.08122,756.92
ctp3,test00_10.graph,uct2,optimistic,10000,10,0,NA,108.18000,2.01100,1485.10
ctp3,test00_10.graph,aot2,optimistic,10,10,0.5,100,149.64101,2.69857,22.01
ctp3,test00_10.graph,aot2,optimistic,50,10,0.5,100,121.78800,2.23315,88.56
ctp3,test00_10.graph,aot2,optimistic,100,10,0.5,100,118.45100,2.48145,157.33
ctp3,test00_10.graph,aot2,optimistic,500,10,0.5,100,105.45100,2.04934,411.63
